Area Name,2013 Q4 Total businesses,2013 Q4 Dept store sales,2013 Q4 Households with Net Asset Value Up to 25K,2013 Q4 Households with Net Asset Value 25K to 50K,2013 Q4 Households with Net Asset Value 50K to 75K,2013 Q4 Households with Net Asset Value 75K to 100K,2013 Q4 Households with Net Asset Value 100K to 250K,2013 Q4 Households with Net Asset Value 250K to 500K,2013 Q4 Households with Net Asset Value 500K to 750K,2013 Q4 Households with Net Asset Value 750K to 1M,2013 Q4 Households with Net Asset Value 1M to 2M,2013 Q4 Households with Net Asset Value 2M Plus,2013 Q4 Pop Age 0-4,2013 Q4 Pop Age 5-9 ,2013 Q4 Pop Age 10-14,2013 Q4 Pop Age 15-19 ,2013 Q4 Pop Age 20-24,2013 Q4 Pop Age 25-29 ,2013 Q4 Pop Age 30-34,2013 Q4 Pop Age 35-39 ,2013 Q4 Pop Age 40-44,2013 Q4 Pop Age 45-49 ,2013 Q4 Pop Age 50-54,2013 Q4 Pop Age 55-59 ,2013 Q4 Pop Age 60-64,2013 Q4 Pop Age 65-69,2013 Q4 Pop Age 70-74,2013 Q4 Pop Age 75-79,2013 Q4 Pop Age 80-84,2013 Q4 Pop Age 85+,2013 Q4 HHs Age 85+,2013 Q4 HHs Age 75-84,2013 Q4 HHs Age 65-74,2013 Q4 HHs Age 55-64,2013 Q4 HHs Age 45-54,2013 Q4 HHs Age 35-44,2013 Q4 HHs Age 25-34,2013 Q4 HHs Age 15-24 ,2013 Q4 Median HH Age,2013 Q4 Average HH Age,2013 Q4 White Pop Age 0-4,2013 Q4 White Pop Age 5-9,2013 Q4 White Pop Age 10-14,2013 Q4 White Pop Age 15-19,2013 Q4 White Pop Age 20-24,2013 Q4 White Pop Age 25-29,2013 Q4 White Pop Age 30-34,2013 Q4 White Pop Age 35-39,2013 Q4 White Pop Age 40-44,2013 Q4 White Pop Age 45-49,2013 Q4 White Pop Age 50-54,2013 Q4 White Pop Age 55-59,2013 Q4 White Pop Age 60-64,2013 Q4 White Pop Age 65-69,2013 Q4 White Pop Age 70-74,2013 Q4 White Pop Age 75-79,2013 Q4 White Pop Age 80-84,2013 Q4 White Pop Age 85+,2013 Q4 Black Pop Age 0-4,2013 Q4 Black Pop Age 5-9,2013 Q4 Black Pop Age 10-14,2013 Q4 Black Pop Age 15-19,2013 Q4 Black Pop Age 20-24,2013 Q4 Black Pop Age 25-29,2013 Q4 Black Pop Age 30-34,2013 Q4 Black Pop Age 35-39,2013 Q4 Black Pop Age 40-44,2013 Q4 Black Pop Age 45-49,2013 Q4 Black Pop Age 50-54,2013 Q4 Black Pop Age 55-59,2013 Q4 Black Pop Age 60-64,2013 Q4 Black Pop Age 65-69,2013 Q4 Black Pop Age 70-74,2013 Q4 Black Pop Age 75-79,2013 Q4 Black Pop Age 80-84,2013 Q4 Black Pop Age 85+,2013 Q4 Asian Pop Age 0-4,2013 Q4 Asian Pop Age 5-9,2013 Q4 Asian Pop Age 10-14,2013 Q4 Asian Pop Age 15-19,2013 Q4 Asian Pop Age 20-24,2013 Q4 Asian Pop Age 25-29,2013 Q4 Asian Pop Age 30-34,2013 Q4 Asian Pop Age 35-39,2013 Q4 Asian Pop Age 40-44,2013 Q4 Asian Pop Age 45-49,2013 Q4 Asian Pop Age 50-54,2013 Q4 Asian Pop Age 55-59,2013 Q4 Asian Pop Age 60-64,2013 Q4 Asian Pop Age 65-69,2013 Q4 Asian Pop Age 70-74,2013 Q4 Asian Pop Age 75-79,2013 Q4 Asian Pop Age 80-84,2013 Q4 Asian Pop Age 85+,2013 Q4 Hispanic Pop Age 0-4,2013 Q4 Hispanic Pop Age 5-9 ,2013 Q4 Hispanic Pop Age 10-14,2013 Q4 Hispanic Pop Age 15-19 ,2013 Q4 Hispanic Pop Age 20-24,2013 Q4 Hispanic Pop Age 25-29 ,2013 Q4 Hispanic Pop Age 30-34,2013 Q4 Hispanic Pop Age 35-39 ,2013 Q4 Hispanic Pop Age 40-44,2013 Q4 Hispanic Pop Age 45-49 ,2013 Q4 Hispanic Pop Age 50-54,2013 Q4 Hispanic Pop Age 55-59 ,2013 Q4 Hispanic Pop Age 60-64,2013 Q4 Hispanic Pop Age 65-69,2013 Q4 Hispanic Pop Age 70-74,2013 Q4 Hispanic Pop Age 75-79,2013 Q4 Hispanic Pop Age 80-84,2013 Q4 Hispanic Pop Age 85+,2013 Q4 No High School Diploma,2013 Q4 High School Diploma,2013 Q4 Some College,2013 Q4 Bachelors Degree,2013 Q4 Advanced Degree
ALBANY-SCH-TROY (532),"74,778","$3,097,947 ","325,076","54,851","28,411","23,986","65,583","34,684","11,914","6,656","8,701","9,646","76,266","75,194","80,516","92,185","96,868","87,746","80,106","77,424","87,397","100,212","107,020","103,068","94,431","73,328","52,005","38,841","30,936","36,883","24,465","47,248","78,890","117,002","116,092","87,590","75,066","23,155",53.5,53.1,"58,546","61,851","68,777","78,901","79,137","74,942","68,762","67,582","78,740","91,999","99,542","97,030","89,280","69,040","48,729","36,899","29,662","34,749","6,886","7,058","7,025","8,618","8,366","7,245","6,703","5,881","5,819","5,954","5,495","4,321","3,234","2,127","1,392",983,650,663,"2,718","2,552","2,205","2,685","3,314","3,447","3,508","3,312","2,604","2,164","1,880","1,449","1,263",881,588,316,186,130,"6,488","5,851","5,226","6,472","6,174","4,910","4,218","3,788","3,584","3,239","2,644","1,960","1,423",892,614,444,274,233,"100,336","304,117","275,054","160,223","129,667"
HARTFRD&NW HAVN (533),"156,858","$5,097,071 ","499,840","106,958","57,204","48,386","142,885","80,194","30,868","16,665","24,287","28,808","149,029","151,152","164,334","180,377","179,142","168,546","157,864","153,126","173,151","196,718","207,987","193,479","167,939","129,924","91,819","68,127","54,622","69,497","44,942","80,700","135,079","206,394","218,370","167,485","141,403","41,722",52.7,52.6,"102,791","111,526","127,684","142,666","136,606","132,270","123,661","121,533","143,681","169,350","183,773","173,509","151,423","116,827","82,695","62,497","50,870","64,836","20,795","21,672","23,579","25,789","23,135","21,634","21,684","20,891","21,073","20,382","18,396","14,758","11,584","8,199","5,534","3,698","2,595","2,606","7,673","7,504","6,428","6,192","7,119","9,454","10,557","9,866","8,083","6,797","5,553","4,541","3,458","2,349","1,484",915,519,400,"33,975","32,102","31,811","32,640","29,635","28,085","27,077","24,521","23,158","20,205","16,068","11,481","8,833","5,645","3,863","2,503","1,534","1,218","207,113","541,880","474,656","342,420","266,730"
ORL-DYTN B-MLBN (534),"197,978","$8,883,180 ","927,266","135,553","69,882","56,640","154,384","84,769","29,709","17,062","22,512","24,655","222,958","218,066","228,051","241,044","259,694","251,451","235,750","228,420","241,929","263,568","272,678","254,716","241,126","212,611","172,624","131,763","94,898","95,334","61,809","147,340","231,631","281,502","287,617","237,955","211,690","62,888",53.6,53.3,"149,814","154,185","165,831","178,046","185,713","189,694","181,210","178,229","193,373","216,679","228,395","216,605","208,857","185,148","151,699","117,646","85,600","84,057","43,612","44,501","46,083","48,947","45,819","43,293","41,003","38,729","37,836","37,308","35,103","29,049","23,219","17,512","13,018","9,101","5,853","5,296","7,286","7,786","7,768","8,069","9,423","9,769","10,124","10,594","10,432","9,353","8,736","7,666","6,364","4,744","3,230","1,917","1,053",685,"60,977","60,522","62,968","65,395","61,576","57,580","58,234","57,529","53,838","51,093","41,099","31,801","26,784","20,428","15,616","11,171","7,063","5,284","330,583","819,833","856,514","453,842","236,096"
COLUMBUS  OH (535),"111,448","$3,935,991 ","626,236","83,774","41,605","33,591","87,753","42,703","14,503","8,247","10,550","12,415","164,232","161,795","162,485","166,361","178,315","176,275","170,383","162,250","165,292","169,028","171,986","158,892","138,656","103,121","74,238","53,826","38,929","40,519","27,731","63,838","112,992","178,048","192,476","176,807","163,988","45,497",49.9,50.2,"120,983","123,281","127,349","132,463","138,674","143,480","138,576","132,456","138,045","144,310","148,822","139,233","122,733","90,842","65,309","47,210","34,367","34,901","26,053","25,713","24,883","25,269","22,547","22,419","23,311","22,394","21,385","20,288","19,501","16,125","12,120","7,964","5,541","3,974","2,749","2,527","5,332","5,096","3,957","3,959","5,568","6,720","7,057","6,686","5,407","4,235","3,514","2,867","2,203","1,494",988,584,334,248,"10,783","8,945","6,753","6,543","7,888","8,445","7,656","6,180","4,450","3,522","2,608","1,764","1,202",692,481,315,197,192,"187,874","529,926","437,646","301,130","166,819"
HARRSBG-LA-LB-Y (566),"91,332","$3,485,471 ","424,507","86,215","45,206","35,956","95,226","45,008","13,833","7,217","9,190","9,774","121,396","123,287","127,123","132,505","127,292","121,141","116,880","115,578","126,549","139,257","146,226","140,208","126,606","99,005","73,478","56,547","44,080","50,548","32,570","66,243","105,476","153,453","155,371","124,451","103,737","30,831",53.2,53,"99,838","103,212","108,822","114,899","108,807","107,273","104,062","103,532","114,962","128,588","136,475","131,751","119,598","93,508","69,584","53,819","42,040","46,576","10,306","10,254","10,686","11,872","9,451","8,227","8,432","8,411","8,528","8,116","7,419","6,253","4,882","3,251","2,037","1,393",932,900,"2,670","2,981","2,783","2,683","2,543","3,038","3,269","3,394","2,936","2,514","2,276","2,025","1,628","1,127",675,460,254,144,"15,534","14,065","12,897","12,659","11,213","10,511","9,983","9,065","8,054","6,799","5,327","3,971","2,900","1,847","1,214",730,459,340,"185,939","548,515","307,203","203,152","111,294"
GRVL-SPA-ASH-AN (567),"108,409","$4,905,874 ","588,795","80,474","39,693","30,386","75,871","36,458","12,015","6,923","8,930","10,696","135,863","134,268","137,020","142,994","147,412","135,812","131,078","132,586","141,486","149,749","155,028","151,329","144,701","121,955","93,286","68,815","48,460","49,673","32,926","78,819","134,502","174,303","169,890","144,090","119,207","36,504",53.6,53.1,"99,587","102,180","106,946","110,975","111,179","109,113","106,472","108,849","117,685","126,450","131,984","130,156","127,197","108,869","83,488","61,789","43,389","43,093","23,316","22,242","23,364","26,084","24,165","21,137","20,710","20,506","20,925","20,893","20,843","19,218","15,875","11,474","7,959","5,366","3,563","3,551","2,127","2,189","2,130","1,967","2,057","2,378","2,372","2,553","2,283","1,937","1,698","1,486","1,145",831,546,304,185,128,"16,770","13,773","10,817","10,090","11,639","13,425","12,485","10,194","7,970","6,064","4,363","2,931","2,034","1,360",862,595,358,292,"264,299","464,132","436,675","231,252","127,600"
HARRISONBURG (569),"11,596","$749,463 ","63,916","9,505","4,634","3,706","9,055","4,204","1,144",649,734,788,"15,539","14,455","14,563","18,355","23,916","18,858","15,127","13,997","14,830","16,442","17,287","16,667","15,265","12,465","9,705","7,390","5,593","6,054","3,956","8,602","13,659","18,489","18,465","14,848","14,787","5,529",52.6,52.2,"12,676","12,573","12,816","16,259","20,879","17,095","13,750","12,817","13,685","15,291","16,249","15,778","14,539","11,893","9,204","7,011","5,276","5,493",988,925,873,"1,262","1,535","1,186","1,041",890,934,977,905,766,600,421,328,223,169,132,232,229,179,431,663,339,234,243,203,174,131,119,109,68,37,30,17,14,"2,065","1,805","1,470","1,552","1,792","1,596","1,520","1,285","1,059",864,550,335,238,118,77,51,35,22,"30,462","61,140","36,702","26,176","15,200"
FLRNCE-MRTL BCH (570),"37,336","$1,961,794 ","212,617","22,735","11,046","8,291","21,395","10,605","3,189","1,809","2,245","2,425","48,354","47,811","48,251","49,038","51,341","48,005","46,575","45,923","46,792","49,416","51,170","51,220","50,677","42,588","31,644","22,078","14,519","13,342","8,776","24,483","46,210","59,565","55,422","47,793","41,376","12,732",53.4,52.6,"22,647","23,289","24,123","24,535","26,897","27,462","27,127","27,610","29,337","31,656","32,861","33,530","35,247","30,800","23,266","16,272","10,616","9,475","16,732","16,634","16,940","18,312","16,864","15,069","14,577","13,707","13,417","14,164","14,657","14,032","11,868","8,418","5,818","3,907","2,710","2,580",452,511,498,469,506,605,567,713,623,556,494,374,303,225,168,74,34,28,"4,962","3,826","2,876","2,746","3,918","4,440","4,169","3,032","2,268","1,589","1,144",763,610,434,268,152,80,86,"99,866","179,919","141,398","60,957","31,809"
SALISBURY (576),"23,829","$853,809 ","97,413","15,524","8,283","6,438","17,672","10,012","3,438","1,989","2,462","2,495","23,972","23,512","23,256","25,156","27,429","25,396","22,937","21,643","23,408","27,156","29,806","29,911","30,057","26,939","21,182","15,505","10,781","10,326","6,577","17,050","28,967","33,896","30,226","22,291","20,210","6,509",56.1,54.8,"14,650","14,947","15,400","17,166","18,329","18,191","16,823","16,293","17,895","21,326","23,901","24,745","25,875","23,799","18,902","13,784","9,566","8,996","5,859","5,715","5,620","6,713","6,986","6,003","5,240","4,667","4,992","5,307","5,433","4,786","3,789","2,766","2,002","1,519","1,066","1,091",383,451,474,435,438,409,460,502,467,495,459,365,343,236,143,85,61,22,"3,707","2,885","2,035","2,124","2,795","3,167","2,700","2,162","1,569","1,139",806,568,398,304,221,144,91,69,"42,087","103,812","78,960","42,559","27,629"
WILKES BAR-SCR (577),"79,421","$3,465,695 ","388,284","66,386","32,418","24,219","58,768","22,470","5,737","2,788","3,184","3,030","81,815","82,669","87,699","99,063","102,621","91,023","83,845","84,588","95,776","108,012","116,380","112,875","103,421","82,901","62,801","48,615","38,790","44,541","28,854","57,689","88,957","123,552","120,303","90,077","73,568","24,284",54.6,54.1,"70,602","73,726","79,157","89,991","91,165","82,374","76,314","77,952","89,249","101,718","110,748","108,526","100,118","80,333","60,912","47,290","37,946","42,546","4,557","4,731","5,469","6,705","5,881","4,991","5,238","4,983","5,194","5,042","4,418","3,171","2,109","1,292",756,462,272,246,"1,064","1,122","1,079","1,193","1,331","1,325","1,280","1,381","1,263","1,234","1,107",968,830,524,338,215,112,82,"8,474","7,820","7,703","8,283","6,647","5,620","5,649","5,529","5,395","4,815","3,616","2,486","1,728","1,156",818,503,314,310,"141,032","460,125","263,354","132,446","76,611"
TERRE HAUTE (581),"17,110","$791,498 ","106,354","12,672","5,946","4,502","10,603","4,525","1,052",602,603,630,"22,446","22,931","23,657","25,860","27,578","25,026","23,150","22,367","23,154","25,391","26,993","26,259","23,747","18,858","14,564","10,973","8,350","9,355","6,258","13,070","20,917","29,237","28,516","22,827","20,166","6,498",53.5,53.1,"20,539","21,495","22,368","24,028","24,549","22,920","21,176","20,744","21,736","24,162","25,971","25,477","23,157","18,274","14,054","10,517","8,039","8,761",622,583,571,"1,162","1,689","1,616","1,460","1,253","1,159","1,013",853,607,384,220,167,121,72,78,186,206,176,231,341,283,289,260,236,200,158,147,120,76,51,47,22,25,971,757,603,625,835,828,759,604,493,383,272,183,128,81,41,39,31,17,"39,527","98,981","78,725","25,197","15,757"
LAFAYETTE  IN (582),"7,917","$420,548 ","49,018","6,437","3,455","2,773","6,961","3,396","1,111",610,699,847,"13,869","11,709","10,681","15,601","28,026","20,758","13,666","11,019","10,388","10,312","10,637","10,326","9,028","6,824","4,926","3,575","2,714","3,235","2,321","4,529","7,818","12,141","12,517","12,304","16,810","6,867",46.3,47.4,"10,662","9,828","9,189","13,009","23,055","17,754","11,551","9,690","9,485","9,636","10,063","9,911","8,725","6,606","4,777","3,469","2,640","3,145",934,822,655,823,"1,293",852,665,471,368,327,280,210,140,91,63,36,23,28,811,509,352,"1,049","2,909","2,053","1,378",831,534,349,290,205,160,108,69,48,25,22,"1,885","1,729","1,301","1,365","1,819","1,370","1,304","1,079",809,621,464,263,173,108,56,26,26,27,"11,634","34,289","30,202","21,964","19,319"
ALPENA (583),"2,390","$120,276 ","11,470","1,624",766,666,"1,627",749,207,106,121,87,"1,779","1,904","2,141","2,302","1,988","1,752","1,762","1,842","2,054","2,612","3,225","3,291","3,180","2,809","2,366","1,840","1,346","1,335",877,"2,129","3,215","3,801","3,259","2,055","1,575",512,58.4,57.2,"1,655","1,820","2,085","2,232","1,827","1,685","1,706","1,806","2,029","2,586","3,200","3,267","3,149","2,785","2,328","1,829","1,336","1,255",3,9,13,23,15,12,5,9,8,3,16,5,6,2,0,2,1,0,9,16,12,20,12,14,18,14,14,23,9,9,9,8,3,2,1,1,51,55,51,38,30,22,16,26,22,27,32,22,20,9,13,13,6,1,"3,592","10,677","10,724","2,661","1,760"
CHARLOTTESVILLE (584),"13,218","$398,941 ","43,089","7,677","3,963","3,293","9,384","5,384","1,967","1,135","1,689","2,462","13,087","11,625","11,517","14,199","18,480","16,549","13,822","11,991","12,287","13,229","13,941","13,314","12,214","9,650","7,176","5,236","3,915","4,326","2,934","6,111","10,344","14,795","14,937","12,745","13,791","4,386",51.1,51,"9,179","8,835","9,056","10,565","13,331","13,174","11,069","9,737","10,043","11,052","11,839","11,493","10,729","8,558","6,259","4,594","3,449","3,740","1,728","1,700","1,656","2,096","2,183","1,945","1,796","1,580","1,718","1,769","1,773","1,542","1,272",939,685,492,354,360,497,459,337,749,"1,595","1,242",903,645,518,407,327,277,197,127,93,43,28,20,"1,219",854,679,898,"1,421","1,182","1,045",813,608,442,276,171,138,103,66,48,34,17,"17,327","30,727","29,250","31,251","29,095"
SO. BEND-ELKHRT (588),"41,481","$1,630,473 ","217,753","32,117","15,980","12,642","31,971","14,691","4,475","2,425","3,120","3,028","58,968","61,525","63,720","64,379","59,750","55,038","53,487","52,378","54,713","58,558","61,783","60,675","54,386","42,305","31,049","23,207","17,991","20,354","13,381","27,485","45,461","67,129","66,424","55,827","47,889","14,606",52.6,52.4,"47,272","50,144","52,922","54,240","48,759","47,717","46,781","46,240","49,120","53,213","56,527","55,930","50,293","39,035","28,679","21,485","16,725","18,515","6,724","6,900","7,121","7,186","5,609","5,059","4,955","4,837","4,628","4,551","4,550","3,979","3,074","2,052","1,483","1,087",794,798,807,907,791,883,"1,055","1,202","1,115","1,030",841,767,661,593,477,319,203,129,68,55,"9,645","9,085","7,679","6,791","5,938","5,940","6,219","5,634","4,356","3,186","2,344","1,654","1,130",690,419,309,200,125,"93,894","205,891","162,202","77,816","46,121"
GAINESVILLE (592),"16,996","$635,536 ","92,239","9,143","4,787","3,825","10,048","5,270","2,001","1,124","1,517","1,958","21,119","16,391","15,657","23,752","41,415","32,050","21,634","17,379","16,519","17,666","19,336","19,651","18,544","15,056","11,025","7,817","5,591","5,943","4,116","9,200","16,603","23,104","21,225","18,878","27,404","11,382",48.9,48.9,"11,984","10,967","10,834","15,875","29,790","24,238","15,820","12,936","12,618","13,813","15,560","16,204","15,728","12,982","9,503","6,810","4,855","4,981","4,782","4,192","3,977","5,680","6,739","5,280","3,995","3,305","3,079","3,189","3,232","2,953","2,406","1,714","1,244",823,567,614,889,684,529,"1,093","2,700","2,332","1,647","1,056",803,664,543,485,398,314,203,113,58,49,"1,905","1,585","1,542","3,454","6,063","2,669","1,837","1,498","1,269","1,249","1,140",830,636,439,314,265,196,135,"24,710","52,631","59,179","37,157","34,534"
ZANESVILLE (596),"4,392","$224,397 ","24,880","2,742","1,309",966,"2,450","1,039",303,131,203,138,"5,209","5,297","5,746","5,875","5,760","5,175","4,941","4,929","5,317","5,728","6,208","5,974","5,442","4,286","3,325","2,571","1,946","2,074","1,396","3,088","4,819","6,791","6,711","5,406","4,505","1,445",53.5,53.2,"4,618","4,769","5,262","5,394","5,080","4,864","4,638","4,673","5,066","5,444","5,930","5,706","5,197","4,070","3,132","2,398","1,845","1,785",220,232,300,317,226,188,184,207,202,241,255,221,183,108,106,66,42,56,23,24,15,32,19,29,14,26,27,29,22,13,11,6,10,8,4,3,101,67,104,78,52,53,35,43,37,29,26,15,14,21,8,7,7,2,"7,884","26,259","15,680","4,725","3,368"
FT. MYERS-NAPLS (571),"71,946","$2,550,937 ","281,486","45,353","23,874","20,227","55,360","36,038","13,847","8,926","13,353","21,672","62,865","64,639","66,369","67,574","66,192","64,964","63,426","62,991","68,215","75,356","80,050","81,089","89,405","93,130","83,112","64,930","47,152","45,892","29,479","72,301","105,430","96,142","82,502","64,979","53,679","15,624",59.5,57.6,"46,727","50,326","52,744","54,685","53,751","55,271","54,050","54,130","59,760","67,579","72,770","74,911","84,365","88,998","79,798","62,692","45,705","44,449","8,526","9,079","9,258","9,554","7,871","7,403","7,546","7,055","6,659","6,366","5,912","4,755","3,792","2,983","2,272","1,598","1,096",974,984,"1,100","1,111","1,025",862,"1,166","1,426","1,473","1,453","1,221","1,093","1,013",944,752,631,413,204,149,"24,705","23,218","21,283","21,330","21,252","22,158","21,438","20,796","18,526","16,474","11,743","8,921","6,780","5,276","4,194","2,736","1,613","1,153","126,630","288,946","262,824","150,924","90,388"
ROANOKE-LNCHBRG (573),"53,665","$2,637,891 ","315,279","41,584","20,203","15,084","37,695","17,107","5,433","3,075","3,881","4,449","63,459","61,008","63,904","74,361","88,324","73,463","61,581","61,126","67,849","75,504","80,793","80,439","76,891","63,949","48,995","36,511","26,739","28,043","18,722","42,817","70,970","93,251","87,823","68,546","60,609","21,052",54.3,53.5,"45,436","46,162","49,803","57,790","68,708","58,976","49,639","49,919","56,115","62,839","67,577","67,764","65,788","55,394","42,671","31,848","23,331","23,308","11,198","11,176","11,630","13,656","12,988","10,620","9,693","9,736","10,577","11,760","12,453","12,074","10,472","7,767","5,603","4,007","2,765","2,951","1,138","1,078",923,"1,530","2,514","2,040","1,674","1,388","1,130",900,754,591,550,381,234,128,80,50,"3,795","2,977","2,525","3,113","3,913","3,150","2,687","2,307","1,791","1,381","1,039",740,492,364,262,185,139,109,"140,230","249,403","220,892","106,524","64,834"
JOHNSTOWN-ALTNA (574),"37,191","$1,496,006 ","207,375","29,303","14,240","10,043","23,611","9,060","2,621","1,502","1,710","1,947","40,400","38,694","40,364","49,027","63,857","51,333","42,733","41,816","45,466","49,971","54,488","54,101","49,500","38,997","30,426","24,067","19,124","21,955","14,300","28,665","42,794","59,633","56,314","43,973","40,644","15,089",54.1,53.4,"35,870","36,413","38,484","45,865","56,678","46,671","39,157","39,120","43,292","47,991","52,849","52,749","48,418","38,191","29,829","23,675","18,825","21,075",930,923,846,"1,532","2,865","2,386","2,194","1,826","1,588","1,496","1,229",963,614,334,226,123,129,93,696,557,414,"1,007","2,450","1,717","1,203",790,573,482,374,320,267,183,134,80,43,37,817,765,669,"1,447","2,124","1,129","1,132",984,846,733,530,373,259,178,127,88,76,59,"62,382","242,862","114,388","63,753","40,592"
CHATTANOOGA (575),"44,335","$1,872,534 ","267,507","30,843","15,355","11,676","29,039","13,456","4,327","2,426","3,088","3,748","60,073","60,859","62,631","63,370","64,326","60,859","60,176","60,769","64,137","67,077","69,035","66,517","62,812","51,700","38,705","28,354","19,766","19,308","12,638","31,827","55,433","74,693","74,197","64,019","52,866","15,792",52.8,52.5,"48,654","50,502","53,033","53,809","53,126","51,781","52,197","53,270","56,926","60,137","61,870","59,565","56,931","47,259","35,235","25,260","17,231","15,987","6,681","6,790","6,988","7,786","7,358","6,680","6,424","6,315","6,106","6,098","6,352","6,070","4,994","3,377","2,275","1,674","1,142","1,082",811,866,796,825,799,985,940,971,940,806,731,697,577,357,210,133,75,43,"9,122","8,280","6,658","6,189","6,524","6,775","6,209","5,314","4,486","3,193","2,358","1,556","1,060",640,404,277,142,126,"139,363","217,429","186,437","82,205","43,781"
PRESQUE ISLE (552),"4,396","$151,904 ","22,531","2,452","1,169",902,"2,097",736,195,56,71,84,"3,516","3,550","3,909","4,371","4,087","3,554","3,397","3,565","4,168","4,964","5,546","5,697","5,393","4,464","3,441","2,659","2,069","2,012","1,355","3,221","4,985","6,576","5,904","4,096","3,110","1,046",56.5,55.5,"3,121","3,328","3,745","4,113","3,563","3,331","3,247","3,496","4,128","4,906","5,497","5,597","5,266","4,319","3,318","2,560","1,985","1,820",19,23,37,114,122,50,33,18,18,14,19,11,13,8,6,7,2,2,22,16,22,32,27,18,32,21,19,30,19,30,26,15,5,6,1,0,85,85,77,86,100,35,47,32,45,40,20,26,13,11,11,5,3,1,"8,077","19,832","14,592","6,018","2,410"
MARQUETTE (553),"13,571","$628,557 ","60,196","8,568","4,325","3,419","8,687","3,897","1,128",560,579,549,"11,366","11,181","11,734","14,213","16,898","13,929","11,725","10,846","11,734","13,741","15,973","17,165","16,146","12,736","9,802","7,394","5,635","6,514","4,412","8,947","14,312","19,887","16,796","11,954","11,468","4,132",55.8,54.5,"9,925","10,337","10,967","13,063","14,202","12,669","10,666","10,043","11,255","13,264","15,581","16,851","15,671","12,166","9,373","6,977","5,447","6,068",72,60,69,198,458,491,470,374,253,265,195,112,65,25,12,14,1,1,74,90,77,151,396,274,161,107,87,99,86,67,73,47,32,21,13,6,327,291,271,318,316,191,123,124,131,111,98,69,64,46,32,22,14,14,"13,976","57,795","46,737","23,248","11,584"
WHEELING-STEUB. (554),"15,529","$614,317 ","98,684","12,471","5,962","4,408","11,053","4,006","1,100",514,622,537,"17,486","17,597","18,829","20,413","20,317","18,262","17,860","18,389","20,011","22,242","25,715","26,992","26,042","19,968","15,519","12,009","9,331","10,045","6,623","14,121","21,570","30,616","26,374","19,743","15,392","4,918",56.1,55,"15,792","16,407","17,555","19,144","18,475","16,968","16,817","17,570","19,248","21,500","24,905","26,206","25,282","19,208","15,011","11,576","9,046","9,445",598,578,632,878,842,857,749,664,653,635,715,679,624,451,339,242,154,150,71,73,99,102,85,79,100,96,102,105,94,95,74,100,54,36,19,7,270,279,237,283,356,212,152,151,135,144,135,113,83,80,64,44,36,46,"32,081","108,860","65,882","22,946","12,616"
SYRACUSE (555),"53,840","$1,750,470 ","253,482","38,954","19,395","16,306","42,601","21,515","6,954","3,812","4,900","5,353","61,958","59,058","62,667","77,924","89,574","74,557","61,569","55,998","62,511","72,410","77,686","73,772","65,085","49,568","35,642","26,747","21,094","25,375","16,860","32,496","53,795","82,320","83,921","62,779","60,236","20,865",52.5,52.1,"47,529","48,723","53,189","65,703","71,925","62,797","52,461","48,976","56,389","66,542","72,397","69,239","61,122","46,267","33,178","25,143","20,022","23,793","5,685","5,757","5,786","7,366","6,959","5,773","5,179","4,370","4,392","4,459","4,158","3,293","2,419","1,677","1,136",749,477,422,"1,677","1,646","1,558","2,872","5,109","4,062","2,704","2,032","1,502","1,313","1,029",879,776,543,367,252,145,98,"3,931","3,419","3,223","5,067","4,883","2,773","2,384","2,178","2,091","1,871","1,377",985,677,478,268,227,163,147,"81,332","218,594","201,335","110,628","90,125"
RICHMOND-PTRSBG (556),"72,660","$3,037,045 ","312,883","55,707","29,161","24,592","65,826","34,581","12,321","7,252","9,165","10,856","89,168","88,043","90,594","95,757","98,847","97,890","93,730","89,967","95,991","104,444","107,717","101,394","90,722","69,809","49,409","35,354","25,778","28,081","18,507","40,530","73,124","110,528","114,572","95,303","85,555","24,225",51.6,51.5,"49,053","50,341","53,068","55,370","55,302","59,020","58,108","56,701","61,658","68,769","72,184","69,056","63,921","49,724","34,707","24,998","18,583","19,925","28,543","30,078","31,927","35,667","33,922","31,688","30,037","28,543","30,547","32,527","32,792","29,912","24,410","17,282","11,909","8,467","5,925","5,852","3,268","3,015","2,592","2,743","3,421","4,156","4,376","4,209","3,565","3,001","2,581","2,158","1,738","1,203",727,478,259,177,"8,296","6,916","5,575","5,846","7,581","8,163","7,681","6,130","4,666","3,780","2,536","1,695","1,175",683,475,333,203,199,"149,867","282,255","263,887","189,369","104,908"
