Area Name,2013 Q4 Total businesses,2013 Q4 Households with Net Asset Value Up to 25K,2013 Q4 Households with Net Asset Value 25K to 50K,2013 Q4 Households with Net Asset Value 50K to 75K,2013 Q4 Households with Net Asset Value 100K to 250K,2013 Q4 Households with Net Asset Value 75K to 100K,2013 Q4 Male Age 15-19 ,2013 Q4 Male Age 20-24,2013 Q4 Male Age 25-29 ,2013 Q4 Male Age 30-34,2013 Q4 Male Age 35-39 ,2013 Q4 Male Age 40-44 ,2013 Q4 Male Age 45-49,2013 Q4 Male Age 50-54,2013 Q4 Male Age 55-59 ,2013 Q4 Male Age 60-64,2013 Q4 Male Age 65-69 ,2013 Q4 Female Age 20-24,2013 Q4 Female Age 15-19 ,2013 Q4 Female Age 25-29 ,2013 Q4 Female Age 30-34,2013 Q4 Female Age 35-39 ,2013 Q4 Female Age 40-44,2013 Q4 Female Age 45-49 ,2013 Q4 Female Age 50-54,2013 Q4 Female Age 55-59,2013 Q4 Female Age 60-64 ,2013 Q4 Female Age 65-69,2013 Q4 Average HH Income Age15-24,2013 Q4 Average HH Income Age 25-34,2013 Q4 Average HH Income Age 35-44,2013 Q4 Average HH Income Age 45-54,2013 Q4 Average HH Income Age 55-64,2013 Q4 Average HH Income Age 65-74,2013 Q4 HHs Age 15-24 Income 20k-25k,2013 Q4 HHs Age 15-24 Income 15k-20k,2013 Q4 HHs Age 15-24 Income 25k-30k,2013 Q4 HHs Age 15-24 Income 30k-35k,2013 Q4 HHs Age 15-24 Income 35k-40k,2013 Q4 HHs Age 15-24 Income 45k-50k ,2013 Q4 HHs Age 15-24 Income 40k-45k,2013 Q4 HHs Age 15-24 Income 50k-60k,2013 Q4 HHs Age 15-24 Income 60k-75k,2013 Q4 HHs Age 15-24 Income 75k-100k,2013 Q4 HHs Age 15-24 Income 100k-125k,2013 Q4 HHs Age 15-24 Income 125k-150k,2013 Q4 HHs Age 15-24 Income 10k-15k,2013 Q4 HHs Age 15-24 Income 150k-200k,2013 Q4 HHs Age 15-24 Income Above 200k,2013 Q4 Median White Pop Age,2013 Q4 Median African American Pop Age,2013 Q4 Median Asian Pop Age,2013 Q4 Owner Occupied HUs,2013 Q4 Renter Occupied HUs,2013 Q4 Vacant HUs,2013 Q4 Seasonal HUs,2013 Q4 Unemployed,2013 Q4 Male Unemployed,2013 Q4 Female Unemployed,2013 Q4 Pop,2013 Q4 HHs,2013 Q4 Group Quarters,2013 Q4 HUs,HH Growth 2013 Q4 To 2018 Q4,2013 Q4 Median HH Age,2013 Q4 Median HH Income,2013 Q4 Median HU Value,Pop Growth 2013 Q4 To 2018 Q4,2013 Q4 Pop Below Age 19,2013 Q4 Pop Age 20-64,2013 Q4 Pop Age 65+,2013 Q4 White ,2013 Q4 Black ,2013 Q4 Hispanic ,2013 Q4 Native American ,2013 Q4 Asian ,2013 Q4 Pacific Islander,2013 Q4 Two Or More Races,2013 Q4 Hispanic HHs,2013 Q4 White Households,2013 Q4 African American Households,2013 Q4 Asian Households,2018 Q4 Pop,2018 Q4 HHs,2018 Q4 Group Quarters,2018 Q4 HUs,2018 Q4 Median HH Age,2018 Q4 Median HH Income,2018 Q4 Median HU Value,2018 Q4 Pop Below Age 19,2018 Q4 Pop Age 20-64,2018 Q4 Pop Age 65+,2018 Q4 White ,2018 Q4 Black ,2018 Q4 Hispanic ,2018 Q4 Native American ,2018 Q4 Asian ,2018 Q4 Pacific Islander ,2018 Q4 Two Or More Races,2018 Q4 Hispanic HHs,2018 Q4 White Households,2018 Q4 African American Households,2018 Q4 Asian Households,2010 Census Pop,2010 Census HHs ,2010 Census Group Quarters,2010 Census HUs,HH Growth 2010 Census To 2013 Q4,2010 Census Median HH Age,2010 Census Median HH Income,2010 Census Median HU Value,Pop Growth 2010 Census To 2013 Q4,2010 Census Pop Age Below 19,2010 Census Pop Age 20-64,2010 Census Pop Age 65+,2010 Census White ,2010 Census Black ,2010 Census Hispanic ,2010 Census Native American ,2010 Census Asian ,2010 Census Pacific Islander ,2010 Census Two Or More Races,2010 Census Hispanic HHs,2010 Census White Households,2010 Census African American Households,2010 Census Asian Households,2000 Census Pop,2000 Census HHs ,2000 Census Group Quarters,2013 Q4 HUs,2013 Q4 Owner Occupied HUs,2013 Q4 Renter Occupied HUs,2013 Q4 HU Value Less Than 100k,2013 Q4 HU Value 100k-200k,2013 Q4 HU Value 200k-300k,2013 Q4 HU Value 300k-400k,2013 Q4 HU Value 400k-500k ,2013 Q4 HU Value 500k-1mil,2013 Q4 HU Value Above 1mil,2018 Q4 HUs,2018 Q4 Owner Occupied HUs,2018 Q4 Renter Occupied HUs,2018 Q4 HU Value Less Than 100k,2018 Q4 HU Value 100k-200k,2018 Q4 HU Value 200k-300k,2018 Q4 HU Value 300k-400k,2018 Q4 HU Value 400k-500k ,2018 Q4 HU Value 500k-1mil,2018 Q4 HU Value Above 1mil,2010 Census HUs,2010 Census Owner Occupied HUs,2010 Census Renter Occupied HUs,2010 Census HU Value Less Than 100k,2010 Census HU Value 100k-200k,2010 Census HU Value 200k-300k,2010 Census HU Value 300k-400k,2010 Census HU Value 400k-500k ,2010 Census HU Value 500k-1mil,2010 Census HU Value Above 1mil
SPRINGFLD-HLYOK (543),"36,934","152,740","27,209","14,085","32,371","11,094","25,999","29,176","23,638","19,330","18,018","20,002","22,627","24,380","23,714","21,263","15,894","30,174","26,071","24,357","20,561","19,643","21,763","24,665","26,527","25,948","23,468","17,798","$62,637 ","$60,829 ","$64,987 ","$68,942 ","$70,333 ","$70,485 ",788,877,727,626,605,368,527,966,"1,204","1,501",915,524,911,543,353,41.5,28.8,28.2,"173,187","97,151","17,561","3,963","27,000","15,462","11,538","698,362","270,338","39,458","287,899",1%,52.8,"$51,612 ","$226,199 ",1%,173304,419254,105804,"604,053","54,880","110,176","4,204","18,669",875,"15,681","33,665","241,158","18,624","5,011","702,706","272,109","39,458","287,147",54.1,"$52,099 ","$226,069 ",171059,408420,123227,"607,781","55,252","110,925","4,232","18,781",881,"15,779","33,900","241,840","19,201","5,014","692,942","269,091","37,104","288,536",0%,52.1,"$49,342 ","$223,870 ",1%,179791,416506,96645,"601,639","53,557","106,481","4,030","17,806",777,"15,133","32,519","241,221","18,069","4,667","680,012","260,744","32,657","287,899","173,187","97,151","10,617","61,569","54,991","28,277","9,795","6,730","1,208","287,147","174,577","97,532","10,744","62,099","55,411","28,464","9,889","6,755","1,215","288,536","171,707","97,384","9,776","62,595","56,482","26,962","8,220","7,021",651
NRFLK-PRT-NP NW (544),"87,967","429,112","73,428","36,432","79,480","30,193","66,631","80,424","77,778","67,001","58,512","58,308","64,211","67,483","61,291","52,050","39,756","71,457","62,840","71,922","65,684","59,321","61,443","69,107","72,920","67,558","58,793","46,473","$66,665 ","$65,273 ","$70,359 ","$73,608 ","$74,063 ","$74,415 ","1,845","1,793","1,765","1,931","1,800","1,632","1,718","3,112","3,813","4,672","2,917","1,528","1,754","1,437",943,39.9,33.1,37.1,"471,703","265,880","96,304","36,044","64,423","31,959","32,464","1,949,088","737,583","80,571","833,887",2%,50.9,"$56,292 ","$240,243 ",2%,501115,1185263,262710,"1,197,943","617,944","106,454","9,438","63,959","2,671","57,133","28,452","476,527","224,981","19,568","1,991,285","753,908","80,571","848,333",52.3,"$56,503 ","$241,355 ",504704,1170849,315732,"1,227,454","627,095","109,040","9,619","65,910","2,732","58,475","29,178","488,327","228,281","20,037","1,916,160","725,757","78,277","822,195",2%,49.9,"$55,211 ","$242,735 ",2%,506438,1175075,234647,"1,174,422","614,512","99,577","8,998","60,938","2,385","54,905","26,557","468,227","223,894","18,383","1,804,043","670,246","67,410","833,887","471,703","265,880","45,533","131,308","146,633","77,116","31,904","33,171","6,038","848,333","481,845","272,063","45,540","133,457","149,740","79,410","33,022","34,417","6,259","822,195","465,251","260,506","46,373","123,484","146,878","74,515","32,283","34,995","6,723"
ROCHESTER  NY (538),"53,159","228,601","39,390","20,154","47,415","17,454","36,415","38,607","34,243","29,482","26,950","30,539","34,769","37,109","35,025","30,774","23,289","37,308","34,794","34,008","30,450","28,559","32,231","36,929","39,227","37,159","33,278","26,219","$63,927 ","$60,882 ","$66,403 ","$70,163 ","$70,627 ","$70,864 ","1,049","1,068","1,065","1,005",898,651,866,"1,470","1,698","2,562","1,288",797,"1,072",638,540,42.6,29,30.6,"271,502","134,596","32,005","6,396","41,190","23,235","17,955","1,015,465","406,098","36,881","438,103",1%,52.5,"$52,415 ","$143,550 ",1%,252755,606647,156063,"835,082","127,232","65,625","3,518","27,856",555,"21,222","19,656","345,088","45,814","8,807","1,020,888","408,409","36,881","439,377",53.9,"$52,850 ","$143,818 ",248180,591380,181328,"839,046","128,312","66,102","3,535","28,082",558,"21,355","19,819","346,337","46,506","8,861","1,011,440","404,435","36,760","436,966",0%,51.3,"$50,334 ","$141,601 ",0%,262765,606121,142554,"834,766","125,406","62,962","3,332","27,147",422,"20,367","18,779","345,221","44,948","8,419","993,459","381,847","37,017","438,103","271,502","134,596","78,690","131,022","37,739","13,410","4,654","5,001",986,"439,377","272,898","135,511","78,724","131,738","38,077","13,555","4,720","5,084","1,000","436,966","270,531","133,904","81,272","129,788","37,999","10,989","5,115","4,501",867
TAMPA-ST P(SAR) (539),"222,115","1,155,349","159,859","82,329","180,342","65,960","134,807","132,968","130,788","127,527","125,765","135,691","148,701","153,944","144,888","140,017","123,824","130,718","127,648","131,573","129,640","129,025","139,029","153,479","162,709","160,485","159,531","142,899","$57,731 ","$57,256 ","$61,080 ","$62,934 ","$62,551 ","$60,702 ","4,693","4,517","4,005","4,027","3,606","2,708","3,487","5,447","6,050","7,021","4,079","2,095","4,239","1,684","1,534",46.4,30.6,36.3,"1,290,853","568,870","331,381","131,144","177,339","98,427","78,912","4,493,039","1,859,723","78,457","2,191,104",4%,55.5,"$43,964 ","$142,827 ",4%,1019099,2536478,937462,"3,742,869","524,732","712,075","21,324","115,688","4,596","83,830","211,536","1,605,877","184,388","37,317","4,693,476","1,940,614","78,457","2,205,672",56.7,"$44,216 ","$142,840 ",1065850,2573412,1054214,"3,903,261","553,673","752,365","22,338","121,485","4,820","87,899","223,847","1,672,715","195,156","38,890","4,355,372","1,804,376","77,913","2,178,609",3%,54.6,"$43,086 ","$151,941 ",3%,1012356,2480842,862174,"3,650,461","494,497","672,364","19,619","108,034","3,871","78,890","199,307","1,566,928","173,763","34,406","3,701,300","1,556,614","63,256","2,191,104","1,290,853","568,870","448,159","460,608","188,176","87,928","39,505","51,781","14,696","2,205,672","1,344,596","596,018","467,216","478,707","195,744","91,636","41,415","54,475","15,403","2,178,609","1,252,972","551,404","381,290","472,062","209,314","88,917","38,985","45,418","16,986"
LOUISVILLE (529),"79,371","465,820","61,049","30,107","57,693","23,103","58,256","55,275","55,547","56,380","55,081","56,624","60,633","63,010","58,484","51,507","38,746","53,726","54,967","55,049","56,418","55,259","56,893","61,814","65,339","61,980","55,789","43,021","$58,978 ","$58,273 ","$62,196 ","$63,901 ","$64,657 ","$64,802 ","1,806","1,836","1,634","1,627","1,507","1,319","1,392","2,189","2,915","3,123","1,804",938,"1,899",697,719,40.3,32.6,33.1,"473,286","215,136","63,937","9,918","71,946","39,128","32,818","1,733,258","688,422","37,650","752,359",2%,51.7,"$46,778 ","$147,364 ",2%,449599,1034808,248851,"1,466,526","203,537","66,916","5,384","25,129","1,459","31,223","17,825","590,828","79,603","8,120","1,771,366","703,841","37,650","761,648",53.3,"$47,661 ","$147,530 ",446595,1023494,301277,"1,497,914","208,767","68,646","5,506","25,740","1,494","31,945","18,254","604,161","81,457","8,225","1,703,944","676,623","37,547","745,857",2%,50.6,"$43,709 ","$146,650 ",2%,454556,1027432,221956,"1,445,584","198,168","63,524","5,155","23,957","1,298","29,782","16,894","583,004","77,099","7,519","1,557,209","613,392","30,057","752,359","473,286","215,136","142,206","199,383","73,527","30,544","10,654","13,497","3,475","761,648","483,272","220,569","144,837","203,657","75,146","31,242","10,927","13,889","3,574","745,857","466,734","209,889","137,891","204,661","73,729","25,589","10,874","10,854","3,136"
TALLHSEE-THMSVL (530),"36,533","205,061","21,025","10,235","20,697","7,957","26,833","37,728","32,757","25,713","22,375","22,118","23,054","23,682","22,452","20,491","15,970","38,246","27,729","31,019","23,818","21,289","21,328","22,886","24,415","24,010","22,152","17,693","$45,899 ","$48,035 ","$56,151 ","$58,715 ","$59,934 ","$59,225 ","1,381","1,676","1,222","1,227",979,678,"1,047","1,250","1,517","1,473",817,504,"1,704",397,323,38.7,29.6,31.4,"178,846","107,730","38,078","8,053","27,176","13,751","13,425","754,407","286,576","45,793","324,654",4%,49.8,"$39,319 ","$140,192 ",4%,194288,459533,100586,"483,567","240,752","46,268","3,858","12,686",668,"12,876","12,507","192,836","84,080","4,372","781,809","297,792","45,793","327,792",50.3,"$39,637 ","$141,614 ",201460,460284,120065,"501,317","248,928","47,841","3,965","13,432",697,"13,470","13,015","200,651","87,019","4,606","733,240","279,117","42,870","321,924",3%,49.2,"$38,834 ","$139,686 ",3%,195087,450068,88085,"472,293","233,593","42,443","3,574","11,664",535,"11,581","11,368","189,026","81,540","3,921","650,318","245,825","32,293","324,654","178,846","107,730","65,069","60,594","26,981","15,622","4,067","4,889","1,624","327,792","184,607","113,185","66,151","62,845","28,150","16,410","4,251","5,118","1,682","321,924","175,404","103,713","64,523","58,405","30,631","10,890","4,765","4,693","1,497"
TRI-CTIES TN-VA (531),"34,424","248,604","25,112","12,059","20,917","8,841","24,436","25,002","23,602","23,421","24,525","26,560","28,351","29,265","28,486","27,147","22,905","23,858","23,009","22,584","22,305","23,676","26,003","27,972","29,929","29,954","29,033","24,680","$48,265 ","$48,574 ","$49,666 ","$50,140 ","$50,463 ","$50,465 ",890,"1,005",846,855,587,521,550,899,979,"1,105",612,230,"1,158",183,179,43.6,33.9,32.9,"240,914","90,955","47,425","6,867","29,318","16,396","12,922","800,962","331,869","24,155","379,294",0%,54.6,"$35,217 ","$113,445 ",0%,179916,471673,149373,"765,442","20,289","14,283","2,159","4,320",265,"8,487","3,782","320,497","6,507","1,445","797,569","330,493","24,155","380,305",56.1,"$35,711 ","$114,192 ",177480,450495,169594,"761,951","20,335","14,337","2,160","4,355",267,"8,501","3,806","319,083","6,540","1,461","803,267","332,862","24,012","378,364",0%,53.8,"$34,431 ","$109,243 ",0%,186049,480788,136430,"770,318","18,520","13,437","1,999","4,014",211,"8,205","3,526","322,826","5,662","1,251","773,405","316,623","18,697","379,294","240,914","90,955","109,371","82,453","26,768","11,193","4,545","4,972","1,612","380,305","239,614","90,879","108,133","82,259","26,798","11,246","4,567","5,005","1,606","378,364","241,973","90,889","113,102","85,301","25,146","10,158","3,727","3,335","1,204"
ALBANY-SCH-TROY (532),"74,778","325,076","54,851","28,411","65,583","23,986","47,482","50,041","44,784","40,253","38,431","43,354","49,291","52,462","50,537","46,136","35,214","46,827","44,703","42,962","39,853","38,993","44,043","50,921","54,558","52,531","48,295","38,114","$67,265 ","$65,962 ","$69,683 ","$71,932 ","$72,318 ","$71,924 ","1,267","1,300","1,196","1,048","1,146",883,"1,092","1,924","2,414","3,046","1,997","1,103","1,375","1,000",625,43.7,29.3,31,"380,112","189,396","105,087","51,613","55,449","32,487","22,962","1,390,426","569,508","52,206","674,595",0%,53.5,"$55,795 ","$191,069 ",0%,324161,834272,231993,"1,234,168","88,420","58,434","4,302","35,202",771,"27,563","16,527","519,220","30,925","10,714","1,389,784","569,157","52,206","676,950",55.1,"$56,592 ","$191,516 ",318248,803518,268018,"1,233,054","88,696","58,387","4,299","35,386",769,"27,580","16,521","518,517","30,972","10,731","1,390,886","569,811","52,117","672,601",0%,52.5,"$52,724 ","$190,861 ",0%,336829,841167,212890,"1,240,495","86,017","55,547","3,892","33,116",589,"26,777","15,645","522,613","29,494","9,879","1,343,613","536,593","50,328","674,595","380,112","189,396","61,478","141,186","95,590","44,443","18,119","15,987","3,309","676,950","380,254","188,903","61,072","141,017","95,979","44,682","18,238","15,968","3,298","672,601","378,972","190,839","63,543","138,610","99,056","42,343","15,526","16,560","3,334"
HARTFRD&NW HAVN (533),"156,858","499,840","106,958","57,204","142,885","48,386","92,544","92,293","85,729","78,939","75,443","84,565","95,932","101,497","93,862","80,304","61,327","86,849","87,833","82,817","78,925","77,683","88,586","100,786","106,490","99,617","87,635","68,597","$78,506 ","$74,318 ","$81,392 ","$87,070 ","$88,276 ","$88,036 ","1,830","2,247","1,913","1,916","1,497","1,420","1,859","3,071","3,911","5,556","3,855","2,457","2,221","2,721","2,143",43.5,31.7,32.4,"696,548","339,547","90,363","21,312","124,895","68,255","56,640","2,656,833","1,036,095","97,190","1,126,458",0%,52.7,"$65,278 ","$260,481 ",0%,644892,1597952,413989,"2,198,198","288,004","334,354","12,798","98,892","2,550","56,391","97,113","886,530","99,923","30,516","2,658,239","1,036,669","97,190","1,126,232",54.3,"$66,056 ","$260,566 ",628010,1550703,479526,"2,198,207","289,026","335,209","12,821","99,156","2,555","56,474","97,408","884,994","101,061","30,549","2,657,268","1,035,542","98,984","1,126,670",0%,51.8,"$61,232 ","$264,015 ",0%,667172,1607612,382484,"2,206,188","285,255","324,062","12,404","96,548","2,203","54,670","93,946","890,221","98,275","29,282","2,523,031","977,451","85,881","1,126,458","696,548","339,547","33,506","177,784","226,489","133,814","59,781","55,106","10,068","1,126,232","697,117","339,552","33,563","177,836","226,459","133,862","59,990","55,291","10,116","1,126,670","695,119","340,423","30,349","162,102","242,296","132,931","60,812","55,912","10,717"
ORL-DYTN B-MLBN (534),"197,978","927,266","135,553","69,882","154,384","56,640","123,825","133,320","127,929","118,258","113,040","119,216","129,360","132,368","120,958","112,545","98,771","126,374","117,219","123,522","117,492","115,380","122,713","134,208","140,310","133,758","128,581","113,840","$58,595 ","$57,705 ","$61,290 ","$63,199 ","$62,738 ","$60,943 ","4,188","4,213","4,465","4,203","3,541","3,039","3,322","5,295","6,137","6,694","3,744","1,815","3,810","1,842","1,539",43.9,31.3,36.1,"1,035,982","486,450","230,994","81,890","154,037","85,091","68,946","3,866,681","1,522,432","82,118","1,753,426",7%,53.6,"$44,822 ","$151,765 ",7%,910119,2249332,707230,"3,070,781","565,282","748,958","19,724","124,999","5,172","80,723","231,016","1,261,013","190,631","38,671","4,126,875","1,623,294","82,118","1,805,083",55,"$44,860 ","$152,192 ",964797,2329142,832936,"3,269,919","608,812","815,689","21,165","135,055","5,598","86,326","252,088","1,340,734","206,685","41,635","3,692,794","1,454,646","82,887","1,732,073",5%,52.5,"$44,628 ","$161,318 ",5%,897461,2168002,627331,"2,945,498","533,213","687,986","18,211","116,533","4,666","74,673","211,327","1,210,438","179,136","35,811","2,926,224","1,156,990","48,024","1,753,426","1,035,982","486,450","317,235","387,821","179,209","68,737","30,220","39,981","12,779","1,805,083","1,100,293","523,001","335,242","411,756","191,880","72,930","32,218","42,645","13,622","1,732,073","996,256","458,390","253,314","399,248","192,498","76,571","30,898","31,773","11,954"
GREENVL-NB-WASH (545),"36,177","225,385","26,427","12,680","22,910","9,410","28,088","41,797","36,479","27,916","23,796","22,568","23,240","24,589","23,945","22,058","17,681","33,110","25,129","30,892","26,109","23,390","23,289","24,857","26,821","26,763","24,688","20,009","$50,077 ","$51,116 ","$53,935 ","$54,415 ","$54,804 ","$55,866 ","1,216","1,309","1,082","1,310",933,940,931,"1,548","1,824","1,679",943,389,"1,381",297,210,36.8,34.1,32.1,"200,352","116,603","60,204","25,349","34,839","16,426","18,413","814,458","316,955","36,166","377,159",4%,51.1,"$41,714 ","$139,052 ",4%,211702,486307,116449,"560,845","217,379","65,137","6,054","11,180","1,569","17,431","16,741","224,261","83,158","3,570","844,058","328,547","36,166","388,287",51.9,"$42,782 ","$140,115 ",218259,488130,137669,"583,146","222,905","68,140","6,287","11,754","1,646","18,320","17,590","233,134","85,162","3,708","795,544","308,488","38,890","368,267",3%,49.9,"$38,702 ","$132,435 ",2%,212149,479192,104203,"547,455","214,446","60,770","5,599","10,212","1,438","16,394","15,391","218,403","81,600","3,091","699,926","263,127","37,292","377,159","200,352","116,603","71,108","74,433","30,071","10,591","5,266","7,753","1,130","388,287","207,103","121,444","72,514","77,371","31,466","11,047","5,430","8,093","1,182","368,267","195,264","113,224","74,291","71,961","27,491","9,501","4,414","6,640",966
COLUMBIA  SC (546),"46,936","265,758","40,509","19,264","37,952","15,071","38,762","43,283","40,078","35,251","32,160","32,524","34,426","35,600","33,500","30,394","23,794","40,582","36,316","39,007","35,875","33,754","34,701","37,451","39,025","37,764","34,406","26,987","$53,990 ","$54,740 ","$59,874 ","$60,896 ","$60,771 ","$60,625 ","1,278","1,343","1,464","1,164","1,009",859,"1,058","1,679","1,673","1,925","1,238",613,"1,438",416,418,40.5,32.7,33.5,"282,534","132,806","54,599","9,342","45,378","23,547","21,831","1,083,128","415,340","46,502","469,939",3%,51.2,"$43,764 ","$133,560 ",3%,284855,649781,148492,"627,671","414,752","51,364","5,260","16,591","1,286","17,568","12,989","253,272","150,153","5,412","1,117,028","429,011","46,502","477,715",52.5,"$44,138 ","$134,633 ",287335,648876,180817,"650,672","424,078","53,307","5,428","17,308","1,329","18,213","13,522","263,085","153,508","5,609","1,059,254","405,705","46,515","463,149",2%,50.3,"$42,803 ","$134,483 ",2%,287284,642214,129756,"612,788","408,563","48,375","4,945","15,482","1,208","16,268","12,158","247,314","147,617","4,922","931,144","349,821","40,831","469,939","282,534","132,806","105,808","105,658","37,487","15,039","8,061","9,069","1,412","477,715","290,933","138,078","107,561","109,448","38,913","15,694","8,374","9,488","1,455","463,149","277,916","127,789","100,378","111,879","33,608","15,957","6,459","7,868","1,767"
SYRACUSE (555),"53,840","253,482","38,954","19,395","42,601","16,306","39,039","45,211","38,044","31,121","27,876","31,010","35,722","38,374","36,429","31,742","23,710","44,363","38,885","36,513","30,448","28,122","31,501","36,688","39,312","37,343","33,343","25,858","$61,731 ","$60,813 ","$65,607 ","$68,189 ","$68,846 ","$68,356 ","1,299","1,225","1,054","1,064",900,769,999,"1,532","2,016","2,552","1,536",813,"1,266",777,535,41,28,26.7,"276,467","136,805","48,481","16,402","42,775","24,783","17,992","1,053,195","413,272","56,832","461,753",0%,52.5,"$51,995 ","$131,457 ",0%,261607,633162,158426,"925,395","70,057","36,142","6,638","28,564",439,"22,102","9,388","373,581","23,164","8,942","1,050,730","412,345","56,832","463,012",53.7,"$52,694 ","$131,752 ",255258,613465,182007,"922,829","69,991","36,138","6,620","28,743",440,"22,107","9,409","372,498","23,152","8,995","1,056,000","414,064","57,563","460,783",0%,51.5,"$49,353 ","$127,515 ",0%,275643,633403,146954,"932,292","68,696","33,925","6,428","26,908",301,"21,375","8,708","376,457","22,483","8,118","1,039,397","398,112","49,188","461,753","276,467","136,805","102,040","115,056","35,568","12,022","4,554","5,998","1,229","463,012","275,848","136,497","101,452","114,864","35,647","12,078","4,573","5,996","1,238","460,783","276,540","137,524","107,166","113,043","33,799","12,110","3,834","5,242","1,346"
RICHMOND-PTRSBG (556),"72,660","312,883","55,707","29,161","65,826","24,592","48,907","49,910","49,416","47,067","44,966","47,730","51,282","52,055","48,348","42,904","32,763","48,937","46,850","48,474","46,663","45,001","48,261","53,162","55,662","53,046","47,818","37,046","$66,818 ","$65,464 ","$72,966 ","$75,502 ","$75,127 ","$74,144 ","1,290","1,209","1,220","1,350","1,183","1,025","1,205","2,006","2,349","3,043","1,922","1,027","1,347",953,829,41.9,35.6,33,"380,560","181,784","54,031","13,318","48,276","26,235","22,041","1,452,695","562,344","54,736","616,375",4%,51.6,"$55,370 ","$214,779 ",3%,363562,880702,208431,"920,488","450,028","71,933","7,905","43,667","1,430","29,177","19,054","372,569","165,326","14,075","1,503,243","582,777","54,736","634,113",53.2,"$55,580 ","$215,342 ",368909,878648,255686,"951,936","465,490","75,019","8,178","45,838","1,495","30,306","19,907","386,110","170,990","14,722","1,418,221","548,311","55,110","608,584",3%,50.8,"$54,202 ","$222,745 ",2%,365374,870295,182552,"900,008","441,728","67,439","7,519","40,834","1,242","26,890","17,824","364,087","161,957","12,973","1,249,267","481,146","49,786","616,375","380,560","181,784","41,202","132,677","110,975","50,202","19,681","21,223","4,600","634,113","392,797","189,980","41,793","136,965","114,982","52,019","20,421","21,914","4,703","608,584","373,321","174,990","38,888","121,891","113,788","48,194","21,970","24,268","4,322"
RALEIGH-DUR(FY) (560),"135,134","711,849","112,540","57,207","121,287","46,349","105,488","106,762","105,560","103,941","101,869","103,662","103,996","100,103","89,953","77,853","59,244","103,837","100,744","107,189","107,838","106,678","108,406","109,410","107,537","99,984","88,463","68,554","$61,702 ","$61,877 ","$68,499 ","$70,923 ","$69,862 ","$68,607 ","3,165","3,174","3,166","3,170","2,536","2,321","2,598","4,150","5,057","5,801","3,519","2,191","3,462","1,960","1,566",38.7,34,33.4,"755,752","422,235","93,343","13,264","134,001","67,336","66,665","3,045,213","1,177,987","81,025","1,271,330",7%,49.6,"$49,615 ","$172,501 ",7%,834713,1833041,377459,"1,995,559","842,970","306,503","38,647","96,706","3,809","67,522","78,044","796,330","320,964","31,967","3,265,826","1,264,826","81,025","1,372,121",51.1,"$50,351 ","$174,245 ",871630,1914465,479731,"2,146,780","894,745","330,845","41,481","106,008","4,075","72,737","84,346","857,346","340,275","34,949","2,895,429","1,118,277","83,003","1,239,302",5%,48.3,"$47,794 ","$169,627 ",5%,808932,1763249,323248,"1,894,312","809,845","284,264","36,571","88,617","3,452","62,632","72,167","756,167","307,016","28,832","2,360,296","897,757","83,732","1,271,330","755,752","422,235","175,600","278,995","143,916","79,177","31,616","39,624","6,824","1,372,121","810,770","454,056","183,085","299,411","156,393","86,402","34,671","43,395","7,413","1,239,302","719,127","399,150","175,604","264,204","141,166","66,303","30,502","34,043","7,305"
JACKSONVILLE (561),"90,748","438,051","60,424","30,834","65,457","25,276","59,460","62,665","62,811","59,077","55,861","57,991","62,197","63,917","58,750","52,422","40,880","58,440","56,556","60,201","58,346","56,294","58,815","64,109","66,920","63,429","57,750","45,862","$61,741 ","$61,040 ","$64,817 ","$66,483 ","$66,955 ","$67,076 ","1,880","1,561","1,599","1,803","1,855","1,287","1,498","2,434","3,002","3,448","2,007","1,196","1,806",782,882,41.3,31.7,36,"466,593","226,506","92,966","18,961","70,721","38,690","32,031","1,797,616","693,099","50,742","786,065",4%,51.5,"$48,280 ","$154,426 ",4%,461393,1079995,256228,"1,305,871","389,132","123,639","8,231","53,693","1,919","38,770","36,607","524,929","137,852","17,036","1,868,352","721,296","50,742","794,340",53.1,"$48,644 ","$155,635 ",468966,1083442,315944,"1,359,958","401,557","128,419","8,517","56,028","2,003","40,289","38,108","546,813","142,778","17,703","1,747,337","673,393","49,942","778,685",3%,50.4,"$47,381 ","$164,869 ",3%,463119,1062476,221742,"1,272,593","378,140","115,087","7,745","50,780","1,693","36,386","33,968","511,893","133,489","15,848","1,476,473","563,377","37,055","786,065","466,593","226,506","138,839","173,551","71,905","36,925","17,552","21,366","6,455","794,340","484,887","236,409","142,398","179,822","75,016","39,307","18,461","23,020","6,863","778,685","456,192","217,201","114,878","174,532","88,723","35,963","14,337","21,984","5,775"
